LID , PID , TYPE , AREA
hab ,1, nonhabitat ,3589.0178
hab ,5, nonhabitat ,0.0819
hab ,6, nonhabitat ,0.9014
hab ,7, nonhabitat ,1.3111
hab ,9, nonhabitat ,5.0806
hab ,10, nonhabitat ,36.5474
hab ,12, nonhabitat ,0.3278
hab ,15, nonhabitat ,4.1792
hab ,16, nonhabitat ,0.6556
hab ,17, nonhabitat ,43.103
hab ,19, nonhabitat ,0.0819
hab ,21, nonhabitat ,0.1639
hab ,22, nonhabitat ,0.0819
hab ,23, nonhabitat ,0.0819
hab ,25, nonhabitat ,0.0819
hab ,26, nonhabitat ,0.0819
hab ,27, nonhabitat ,0.5736
hab ,28, nonhabitat ,4.507
hab ,29, nonhabitat ,0.0819
hab ,30, nonhabitat ,1.7208
hab ,31, nonhabitat ,0.0819
hab ,33, nonhabitat ,0.0819
hab ,34, nonhabitat ,0.0819
hab ,35, nonhabitat ,0.1639
hab ,39, nonhabitat ,0.0819
hab ,40, nonhabitat ,0.0819
hab ,42, nonhabitat ,0.1639
hab ,43, nonhabitat ,0.0819
hab ,44, nonhabitat ,0.0819
hab ,45, nonhabitat ,0.0819
hab ,46, nonhabitat ,0.0819
hab ,47, nonhabitat ,0.2458
hab ,48, nonhabitat ,0.0819
hab ,49, nonhabitat ,0.0819
hab ,50, nonhabitat ,0.0819
hab ,51, nonhabitat ,0.0819
hab ,52, nonhabitat ,0.1639
hab ,54, nonhabitat ,0.4917
hab ,56, nonhabitat ,0.0819
hab ,57, nonhabitat ,0.0819
hab ,59, nonhabitat ,0.0819
hab ,60, nonhabitat ,0.1639
hab ,61, nonhabitat ,0.2458
hab ,62, nonhabitat ,0.0819
hab ,64, nonhabitat ,0.0819
hab ,65, nonhabitat ,0.9014
hab ,66, nonhabitat ,0.0819
hab ,67, nonhabitat ,2.6222
hab ,68, nonhabitat ,0.0819
hab ,69, nonhabitat ,0.0819
hab ,71, nonhabitat ,0.1639
hab ,72, nonhabitat ,0.0819
hab ,74, nonhabitat ,0.1639
hab ,77, nonhabitat ,0.1639
hab ,78, nonhabitat ,0.1639
hab ,80, nonhabitat ,0.0819
hab ,81, nonhabitat ,0.2458
hab ,82, nonhabitat ,0.0819
hab ,83, nonhabitat ,0.2458
hab ,84, nonhabitat ,0.1639
hab ,85, nonhabitat ,3.8514
hab ,87, nonhabitat ,0.2458
hab ,88, nonhabitat ,0.0819
hab ,89, nonhabitat ,0.7375
hab ,90, nonhabitat ,0.0819
hab ,91, nonhabitat ,0.0819
hab ,92, nonhabitat ,0.0819
hab ,93, nonhabitat ,2.7861
hab ,94, nonhabitat ,0.2458
hab ,95, nonhabitat ,0.0819
hab ,96, nonhabitat ,0.0819
hab ,97, nonhabitat ,0.0819
hab ,99, nonhabitat ,0.0819
hab ,100, nonhabitat ,0.0819
hab ,101, nonhabitat ,4.3431
hab ,102, nonhabitat ,1.3931
hab ,103, nonhabitat ,0.0819
hab ,104, nonhabitat ,0.0819
hab ,105, nonhabitat ,1.9667
hab ,106, nonhabitat ,0.4097
hab ,107, nonhabitat ,0.1639
hab ,108, nonhabitat ,0.0819
hab ,109, nonhabitat ,0.4917
hab ,111, nonhabitat ,0.0819
hab ,112, nonhabitat ,0.0819
hab ,113, nonhabitat ,0.0819
hab ,115, nonhabitat ,0.0819
hab ,116, nonhabitat ,0.0819
hab ,117, nonhabitat ,0.1639
hab ,118, nonhabitat ,0.0819
hab ,121, nonhabitat ,0.0819
hab ,122, nonhabitat ,0.3278
hab ,123, nonhabitat ,0.0819
hab ,126, nonhabitat ,0.3278
hab ,127, nonhabitat ,0.0819
hab ,128, nonhabitat ,0.0819
hab ,129, nonhabitat ,0.3278
hab ,130, nonhabitat ,0.8194
hab ,131, nonhabitat ,0.0819
hab ,132, nonhabitat ,0.0819
hab ,134, nonhabitat ,0.0819
hab ,135, nonhabitat ,0.3278
hab ,136, nonhabitat ,5.7361
hab ,139, nonhabitat ,0.0819
hab ,140, nonhabitat ,0.2458
hab ,141, nonhabitat ,0.0819
hab ,142, nonhabitat ,0.1639
hab ,144, nonhabitat ,0.0819
hab ,145, nonhabitat ,0.4097
hab ,149, nonhabitat ,0.0819
hab ,150, nonhabitat ,3.1958
hab ,152, nonhabitat ,0.9014
hab ,153, nonhabitat ,0.0819
hab ,156, nonhabitat ,0.3278
hab ,157, nonhabitat ,0.0819
hab ,160, nonhabitat ,0.8194
hab ,161, nonhabitat ,0.0819
hab ,162, nonhabitat ,0.5736
hab ,165, nonhabitat ,0.0819
hab ,166, nonhabitat ,0.0819
hab ,171, nonhabitat ,0.0819
hab ,175, nonhabitat ,0.0819
hab ,178, nonhabitat ,0.1639
hab ,180, nonhabitat ,0.0819
hab ,184, nonhabitat ,0.0819
hab ,185, nonhabitat ,0.0819
hab ,186, nonhabitat ,0.2458
hab ,187, nonhabitat ,10.5709
hab ,189, nonhabitat ,0.1639
hab ,191, nonhabitat ,0.0819
hab ,193, nonhabitat ,0.2458
hab ,196, nonhabitat ,0.0819
hab ,197, nonhabitat ,0.0819
hab ,198, nonhabitat ,0.2458
hab ,199, nonhabitat ,0.0819
hab ,200, nonhabitat ,0.1639
hab ,201, nonhabitat ,0.0819
hab ,203, nonhabitat ,0.0819
hab ,204, nonhabitat ,0.0819
hab ,206, nonhabitat ,1.1472
hab ,207, nonhabitat ,0.1639
hab ,208, nonhabitat ,0.4097
hab ,209, nonhabitat ,0.2458
hab ,210, nonhabitat ,0.0819
hab ,212, nonhabitat ,0.2458
hab ,213, nonhabitat ,0.0819
hab ,214, nonhabitat ,0.0819
hab ,215, nonhabitat ,0.3278
hab ,216, nonhabitat ,0.0819
hab ,217, nonhabitat ,0.3278
hab ,218, nonhabitat ,0.1639
hab ,219, nonhabitat ,0.1639
hab ,221, nonhabitat ,0.9014
hab ,222, nonhabitat ,0.1639
hab ,223, nonhabitat ,0.1639
hab ,224, nonhabitat ,0.2458
hab ,225, nonhabitat ,0.0819
hab ,227, nonhabitat ,0.4917
hab ,229, nonhabitat ,0.4097
hab ,230, nonhabitat ,0.0819
hab ,231, nonhabitat ,0.0819
hab ,233, nonhabitat ,0.1639
hab ,234, nonhabitat ,0.1639
hab ,235, nonhabitat ,0.0819
hab ,236, nonhabitat ,0.2458
hab ,237, nonhabitat ,0.0819
hab ,238, nonhabitat ,0.1639
hab ,239, nonhabitat ,0.0819
hab ,240, nonhabitat ,0.2458
hab ,241, nonhabitat ,0.0819
hab ,242, nonhabitat ,0.0819
hab ,244, nonhabitat ,0.0819
hab ,246, nonhabitat ,0.0819
hab ,248, nonhabitat ,0.2458
hab ,251, nonhabitat ,0.4097
hab ,252, nonhabitat ,0.2458
hab ,254, nonhabitat ,0.0819
hab ,255, nonhabitat ,0.0819
hab ,256, nonhabitat ,0.1639
hab ,257, nonhabitat ,0.0819
hab ,259, nonhabitat ,0.1639
hab ,260, nonhabitat ,0.1639
hab ,261, nonhabitat ,0.1639
hab ,262, nonhabitat ,0.0819
hab ,265, nonhabitat ,0.1639
hab ,266, nonhabitat ,0.1639
hab ,267, nonhabitat ,0.0819
hab ,268, nonhabitat ,0.1639
hab ,269, nonhabitat ,0.4097
hab ,270, nonhabitat ,0.4097
hab ,271, nonhabitat ,1.3111
hab ,272, nonhabitat ,0.0819
hab ,273, nonhabitat ,0.4097
hab ,275, nonhabitat ,0.0819
hab ,278, nonhabitat ,0.2458
hab ,279, nonhabitat ,0.0819
hab ,281, nonhabitat ,0.0819
hab ,282, nonhabitat ,0.0819
hab ,283, nonhabitat ,0.0819
hab ,287, nonhabitat ,0.0819
hab ,288, nonhabitat ,0.0819
hab ,289, nonhabitat ,0.1639
hab ,290, nonhabitat ,0.3278
hab ,291, nonhabitat ,0.4917
hab ,293, nonhabitat ,0.1639
hab ,294, nonhabitat ,0.0819
hab ,295, nonhabitat ,0.1639
hab ,297, nonhabitat ,0.0819
hab ,298, nonhabitat ,0.0819
hab ,299, nonhabitat ,0.1639
hab ,300, nonhabitat ,0.0819
hab ,302, nonhabitat ,0.0819
hab ,304, nonhabitat ,0.0819
hab ,305, nonhabitat ,0.0819
hab ,306, nonhabitat ,0.0819
hab ,307, nonhabitat ,0.1639
hab ,308, nonhabitat ,0.1639
hab ,309, nonhabitat ,0.0819
hab ,310, nonhabitat ,0.8194
hab ,311, nonhabitat ,0.0819
hab ,312, nonhabitat ,0.2458
hab ,313, nonhabitat ,0.0819
hab ,317, nonhabitat ,0.7375
hab ,318, nonhabitat ,0.9833
hab ,320, nonhabitat ,0.0819
hab ,321, nonhabitat ,0.0819
hab ,323, nonhabitat ,0.0819
hab ,324, nonhabitat ,0.0819
hab ,326, nonhabitat ,0.0819
hab ,327, nonhabitat ,0.0819
hab ,328, nonhabitat ,0.1639
hab ,330, nonhabitat ,0.2458
hab ,331, nonhabitat ,0.1639
hab ,332, nonhabitat ,0.4917
hab ,335, nonhabitat ,0.1639
hab ,336, nonhabitat ,0.5736
hab ,338, nonhabitat ,0.0819
hab ,339, nonhabitat ,0.2458
hab ,340, nonhabitat ,0.1639
hab ,342, nonhabitat ,0.1639
hab ,343, nonhabitat ,0.1639
hab ,346, nonhabitat ,0.0819
hab ,349, nonhabitat ,0.2458
hab ,350, nonhabitat ,0.0819
hab ,351, nonhabitat ,0.3278
hab ,352, nonhabitat ,0.0819
hab ,353, nonhabitat ,0.0819
hab ,358, nonhabitat ,0.1639
hab ,359, nonhabitat ,0.0819
hab ,361, nonhabitat ,0.0819
hab ,362, nonhabitat ,0.1639
hab ,365, nonhabitat ,0.5736
hab ,367, nonhabitat ,0.1639
hab ,369, nonhabitat ,0.5736
hab ,370, nonhabitat ,0.0819
hab ,371, nonhabitat ,0.0819
hab ,372, nonhabitat ,0.0819
hab ,373, nonhabitat ,0.6556
hab ,374, nonhabitat ,0.6556
hab ,375, nonhabitat ,0.0819
hab ,376, nonhabitat ,0.0819
hab ,377, nonhabitat ,0.0819
hab ,378, nonhabitat ,0.2458
hab ,379, nonhabitat ,0.1639
hab ,380, nonhabitat ,0.3278
hab ,381, nonhabitat ,0.0819
hab ,383, nonhabitat ,0.1639
hab ,387, nonhabitat ,0.0819
hab ,388, nonhabitat ,0.0819
hab ,392, nonhabitat ,0.2458
hab ,394, nonhabitat ,0.0819
hab ,395, nonhabitat ,0.0819
hab ,396, nonhabitat ,0.1639
hab ,400, nonhabitat ,0.5736
hab ,401, nonhabitat ,0.0819
hab ,403, nonhabitat ,0.0819
hab ,404, nonhabitat ,0.1639
hab ,405, nonhabitat ,0.0819
hab ,406, nonhabitat ,0.0819
hab ,407, nonhabitat ,0.0819
hab ,409, nonhabitat ,0.2458
hab ,410, nonhabitat ,0.4097
hab ,411, nonhabitat ,0.0819
hab ,412, nonhabitat ,0.0819
hab ,413, nonhabitat ,0.0819
hab ,415, nonhabitat ,0.0819
hab ,416, nonhabitat ,0.4917
hab ,418, nonhabitat ,0.0819
hab ,419, nonhabitat ,0.2458
hab ,421, nonhabitat ,0.4917
hab ,422, nonhabitat ,0.1639
hab ,423, nonhabitat ,0.4097
hab ,424, nonhabitat ,0.0819
hab ,426, nonhabitat ,0.5736
hab ,427, nonhabitat ,0.0819
hab ,428, nonhabitat ,0.0819
hab ,429, nonhabitat ,0.0819
hab ,431, nonhabitat ,0.0819
hab ,432, nonhabitat ,0.1639
hab ,433, nonhabitat ,0.1639
hab ,434, nonhabitat ,0.0819
hab ,435, nonhabitat ,0.1639
hab ,437, nonhabitat ,0.1639
hab ,440, nonhabitat ,0.0819
hab ,441, nonhabitat ,0.0819
hab ,443, nonhabitat ,0.1639
hab ,444, nonhabitat ,0.0819
hab ,445, nonhabitat ,0.0819
hab ,446, nonhabitat ,0.2458
hab ,450, nonhabitat ,0.0819
hab ,451, nonhabitat ,0.0819
hab ,454, nonhabitat ,0.2458
hab ,455, nonhabitat ,0.0819
hab ,456, nonhabitat ,0.0819
hab ,457, nonhabitat ,0.1639
hab ,458, nonhabitat ,0.1639
hab ,459, nonhabitat ,0.0819
hab ,460, nonhabitat ,0.0819
hab ,461, nonhabitat ,0.0819
hab ,464, nonhabitat ,0.0819
hab ,465, nonhabitat ,0.0819
hab ,466, nonhabitat ,0.1639
hab ,468, nonhabitat ,0.0819
hab ,471, nonhabitat ,0.6556
hab ,473, nonhabitat ,0.0819
hab ,474, nonhabitat ,0.2458
hab ,475, nonhabitat ,0.0819
hab ,476, nonhabitat ,0.3278
hab ,477, nonhabitat ,0.0819
hab ,478, nonhabitat ,0.0819
hab ,479, nonhabitat ,0.0819
hab ,480, nonhabitat ,0.0819
hab ,482, nonhabitat ,0.0819
hab ,483, nonhabitat ,0.0819
hab ,484, nonhabitat ,1.8028
hab ,485, nonhabitat ,0.0819
hab ,493, nonhabitat ,0.0819
hab ,496, nonhabitat ,0.0819
hab ,497, nonhabitat ,0.4917
hab ,501, nonhabitat ,0.1639
hab ,502, nonhabitat ,0.0819
hab ,503, nonhabitat ,0.6556
hab ,504, nonhabitat ,0.0819
hab ,505, nonhabitat ,0.0819
hab ,506, nonhabitat ,0.0819
hab ,508, nonhabitat ,0.9014
hab ,509, nonhabitat ,0.1639
hab ,510, nonhabitat ,0.2458
hab ,512, nonhabitat ,0.1639
hab ,513, nonhabitat ,0.4097
hab ,514, nonhabitat ,0.3278
hab ,515, nonhabitat ,0.0819
hab ,516, nonhabitat ,0.0819
hab ,517, nonhabitat ,0.0819
hab ,520, nonhabitat ,0.1639
hab ,521, nonhabitat ,0.3278
hab ,523, nonhabitat ,0.5736
hab ,524, nonhabitat ,0.1639
hab ,525, nonhabitat ,0.5736
hab ,526, nonhabitat ,0.5736
hab ,527, nonhabitat ,1.557
hab ,530, nonhabitat ,17.1265
hab ,531, nonhabitat ,0.0819
hab ,532, nonhabitat ,0.3278
hab ,533, nonhabitat ,0.0819
hab ,534, nonhabitat ,0.0819
hab ,536, nonhabitat ,0.0819
hab ,538, nonhabitat ,0.0819
hab ,539, nonhabitat ,0.0819
hab ,542, nonhabitat ,0.4097
hab ,543, nonhabitat ,0.0819
hab ,544, nonhabitat ,0.0819
hab ,545, nonhabitat ,21.3056
hab ,546, nonhabitat ,0.0819
hab ,547, nonhabitat ,0.1639
hab ,548, nonhabitat ,0.0819
hab ,549, nonhabitat ,0.6556
hab ,550, nonhabitat ,0.0819
hab ,551, nonhabitat ,0.2458
hab ,553, nonhabitat ,0.5736
hab ,554, nonhabitat ,0.1639
hab ,556, nonhabitat ,0.0819
hab ,557, nonhabitat ,0.1639
hab ,558, nonhabitat ,0.1639
hab ,560, nonhabitat ,0.2458
hab ,561, nonhabitat ,0.3278
hab ,562, nonhabitat ,0.2458
hab ,566, nonhabitat ,0.1639
hab ,568, nonhabitat ,0.1639
hab ,569, nonhabitat ,0.1639
hab ,570, nonhabitat ,0.3278
hab ,573, nonhabitat ,0.3278
hab ,574, nonhabitat ,0.1639
hab ,575, nonhabitat ,0.8194
hab ,576, nonhabitat ,0.0819
hab ,577, nonhabitat ,0.3278
hab ,578, nonhabitat ,0.0819
hab ,579, nonhabitat ,2.7042
hab ,580, nonhabitat ,0.7375
hab ,581, nonhabitat ,0.1639
hab ,582, nonhabitat ,0.0819
hab ,583, nonhabitat ,0.8194
hab ,584, nonhabitat ,0.1639
hab ,585, nonhabitat ,0.1639
hab ,588, nonhabitat ,0.0819
hab ,589, nonhabitat ,0.4917
hab ,591, nonhabitat ,0.0819
hab ,594, nonhabitat ,0.1639
hab ,595, nonhabitat ,0.0819
hab ,596, nonhabitat ,0.0819
hab ,597, nonhabitat ,0.2458
hab ,598, nonhabitat ,0.0819
hab ,599, nonhabitat ,0.6556
hab ,600, nonhabitat ,0.0819
hab ,601, nonhabitat ,0.2458
hab ,602, nonhabitat ,0.0819
hab ,603, nonhabitat ,0.8194
hab ,604, nonhabitat ,0.1639
hab ,605, nonhabitat ,0.1639
hab ,606, nonhabitat ,0.0819
hab ,607, nonhabitat ,2.2945
hab ,608, nonhabitat ,0.1639
hab ,609, nonhabitat ,0.1639
hab ,610, nonhabitat ,0.0819
hab ,612, nonhabitat ,0.0819
hab ,615, nonhabitat ,0.0819
hab ,617, nonhabitat ,1.6389
hab ,618, nonhabitat ,0.0819
hab ,620, nonhabitat ,1.2292
hab ,622, nonhabitat ,1.1472
hab ,626, nonhabitat ,0.3278
hab ,627, nonhabitat ,0.1639
hab ,630, nonhabitat ,0.0819
hab ,631, nonhabitat ,0.0819
hab ,632, nonhabitat ,0.4917
hab ,635, nonhabitat ,8.1125
hab ,636, nonhabitat ,0.0819
hab ,638, nonhabitat ,0.1639
hab ,639, nonhabitat ,0.0819
hab ,644, nonhabitat ,0.6556
hab ,645, nonhabitat ,0.0819
hab ,647, nonhabitat ,0.0819
hab ,649, nonhabitat ,0.0819
hab ,650, nonhabitat ,0.0819
hab ,655, nonhabitat ,0.0819
hab ,657, nonhabitat ,0.0819
hab ,662, nonhabitat ,0.4097
hab ,666, nonhabitat ,0.1639
hab ,667, nonhabitat ,0.2458
hab ,673, nonhabitat ,0.1639
hab ,674, nonhabitat ,8.6861
hab ,676, nonhabitat ,0.0819
hab ,677, nonhabitat ,0.3278
hab ,678, nonhabitat ,0.1639
hab ,679, nonhabitat ,0.0819
hab ,694, nonhabitat ,0.0819
hab ,697, nonhabitat ,0.0819
hab ,700, nonhabitat ,0.0819
hab ,703, nonhabitat ,0.0819
hab ,705, nonhabitat ,0.0819
hab ,709, nonhabitat ,0.0819
hab ,712, nonhabitat ,0.0819
hab ,714, nonhabitat ,0.1639
hab ,716, nonhabitat ,0.4097
hab ,724, nonhabitat ,315.3235
hab ,725, nonhabitat ,0.0819
hab ,727, nonhabitat ,0.0819
hab ,731, nonhabitat ,0.0819
hab ,732, nonhabitat ,0.2458
hab ,736, nonhabitat ,0.2458
hab ,740, nonhabitat ,1.3111
hab ,744, nonhabitat ,0.2458
hab ,745, nonhabitat ,0.0819
hab ,747, nonhabitat ,0.2458
hab ,750, nonhabitat ,0.0819
hab ,752, nonhabitat ,0.0819
hab ,757, nonhabitat ,0.3278
hab ,761, nonhabitat ,0.0819
hab ,763, nonhabitat ,0.0819
hab ,764, nonhabitat ,0.9014
hab ,767, nonhabitat ,0.0819
hab ,774, nonhabitat ,0.0819
hab ,775, nonhabitat ,0.6556
hab ,777, nonhabitat ,0.0819
hab ,780, nonhabitat ,0.3278
hab ,784, nonhabitat ,0.0819
hab ,788, nonhabitat ,0.7375
hab ,792, nonhabitat ,1.475
hab ,796, nonhabitat ,0.1639
hab ,799, nonhabitat ,0.1639
hab ,2, habitat ,0.8194
hab ,3, habitat ,0.3278
hab ,4, habitat ,894.6732
hab ,8, habitat ,0.2458
hab ,11, habitat ,1.7208
hab ,13, habitat ,6.2278
hab ,14, habitat ,729.3086
hab ,18, habitat ,6.3097
hab ,20, habitat ,0.0819
hab ,24, habitat ,29.2543
hab ,32, habitat ,0.0819
hab ,36, habitat ,0.0819
hab ,37, habitat ,0.0819
hab ,38, habitat ,0.2458
hab ,41, habitat ,0.0819
hab ,53, habitat ,61.2128
hab ,55, habitat ,0.3278
hab ,58, habitat ,274.9248
hab ,63, habitat ,0.2458
hab ,70, habitat ,0.0819
hab ,73, habitat ,0.1639
hab ,75, habitat ,0.0819
hab ,76, habitat ,0.6556
hab ,79, habitat ,0.2458
hab ,86, habitat ,0.0819
hab ,98, habitat ,0.0819
hab ,110, habitat ,0.0819
hab ,114, habitat ,0.0819
hab ,119, habitat ,0.0819
hab ,120, habitat ,0.0819
hab ,124, habitat ,0.0819
hab ,125, habitat ,0.0819
hab ,133, habitat ,0.0819
hab ,137, habitat ,0.0819
hab ,138, habitat ,0.2458
hab ,143, habitat ,0.9014
hab ,146, habitat ,0.0819
hab ,147, habitat ,0.0819
hab ,148, habitat ,148.2381
hab ,151, habitat ,0.0819
hab ,154, habitat ,0.0819
hab ,155, habitat ,0.0819
hab ,158, habitat ,0.0819
hab ,159, habitat ,12.2098
hab ,163, habitat ,1.7208
hab ,164, habitat ,0.0819
hab ,167, habitat ,0.0819
hab ,168, habitat ,0.0819
hab ,169, habitat ,0.7375
hab ,170, habitat ,0.0819
hab ,172, habitat ,0.0819
hab ,173, habitat ,0.0819
hab ,174, habitat ,64.5725
hab ,176, habitat ,0.0819
hab ,177, habitat ,0.1639
hab ,179, habitat ,0.3278
hab ,181, habitat ,75.1434
hab ,182, habitat ,0.0819
hab ,183, habitat ,0.0819
hab ,188, habitat ,1.9667
hab ,190, habitat ,1.6389
hab ,192, habitat ,0.1639
hab ,194, habitat ,4.3431
hab ,195, habitat ,0.4917
hab ,202, habitat ,0.0819
hab ,205, habitat ,0.0819
hab ,211, habitat ,55.9683
hab ,220, habitat ,0.0819
hab ,226, habitat ,0.0819
hab ,228, habitat ,0.0819
hab ,232, habitat ,696.4487
hab ,243, habitat ,0.0819
hab ,245, habitat ,0.0819
hab ,247, habitat ,0.0819
hab ,249, habitat ,0.0819
hab ,250, habitat ,0.0819
hab ,253, habitat ,0.2458
hab ,258, habitat ,0.0819
hab ,263, habitat ,11.9639
hab ,264, habitat ,0.0819
hab ,274, habitat ,24.9932
hab ,276, habitat ,0.4917
hab ,277, habitat ,0.0819
hab ,280, habitat ,0.6556
hab ,284, habitat ,0.0819
hab ,285, habitat ,0.0819
hab ,286, habitat ,1.2292
hab ,292, habitat ,0.0819
hab ,296, habitat ,1.8847
hab ,301, habitat ,4.507
hab ,303, habitat ,0.0819
hab ,314, habitat ,11.3903
hab ,315, habitat ,63.5892
hab ,316, habitat ,0.0819
hab ,319, habitat ,0.0819
hab ,322, habitat ,0.1639
hab ,325, habitat ,19.6667
hab ,329, habitat ,0.0819
hab ,333, habitat ,1.557
hab ,334, habitat ,0.1639
hab ,337, habitat ,0.0819
hab ,341, habitat ,0.0819
hab ,344, habitat ,0.0819
hab ,345, habitat ,103.4143
hab ,347, habitat ,0.0819
hab ,348, habitat ,0.1639
hab ,354, habitat ,0.0819
hab ,355, habitat ,6.3917
hab ,356, habitat ,0.0819
hab ,357, habitat ,0.0819
hab ,360, habitat ,0.2458
hab ,363, habitat ,0.0819
hab ,364, habitat ,770.0352
hab ,366, habitat ,0.0819
hab ,368, habitat ,0.0819
hab ,382, habitat ,1.0653
hab ,384, habitat ,0.0819
hab ,385, habitat ,0.0819
hab ,386, habitat ,0.1639
hab ,389, habitat ,0.0819
hab ,390, habitat ,0.0819
hab ,391, habitat ,9.5056
hab ,393, habitat ,150.2048
hab ,397, habitat ,0.0819
hab ,398, habitat ,2.2945
hab ,399, habitat ,0.0819
hab ,402, habitat ,0.0819
hab ,408, habitat ,0.0819
hab ,414, habitat ,0.0819
hab ,417, habitat ,11.8
hab ,420, habitat ,0.0819
hab ,425, habitat ,0.0819
hab ,430, habitat ,0.0819
hab ,436, habitat ,7.5389
hab ,438, habitat ,0.1639
hab ,439, habitat ,2.2125
hab ,442, habitat ,0.0819
hab ,447, habitat ,1.6389
hab ,448, habitat ,0.0819
hab ,449, habitat ,0.0819
hab ,452, habitat ,0.1639
hab ,453, habitat ,8.6042
hab ,462, habitat ,0.0819
hab ,463, habitat ,441.0268
hab ,467, habitat ,2.2125
hab ,469, habitat ,14.0126
hab ,470, habitat ,0.0819
hab ,472, habitat ,0.0819
hab ,481, habitat ,22.9445
hab ,486, habitat ,60.0655
hab ,487, habitat ,0.0819
hab ,488, habitat ,0.0819
hab ,489, habitat ,0.0819
hab ,490, habitat ,40.9724
hab ,491, habitat ,0.0819
hab ,492, habitat ,0.0819
hab ,494, habitat ,0.1639
hab ,495, habitat ,0.3278
hab ,498, habitat ,0.3278
hab ,499, habitat ,0.1639
hab ,500, habitat ,2.95
hab ,507, habitat ,0.4097
hab ,511, habitat ,0.8194
hab ,518, habitat ,0.0819
hab ,519, habitat ,226.0037
hab ,522, habitat ,0.1639
hab ,528, habitat ,0.0819
hab ,529, habitat ,0.0819
hab ,535, habitat ,25.6487
hab ,537, habitat ,0.0819
hab ,540, habitat ,4.6709
hab ,541, habitat ,177.2466
hab ,552, habitat ,0.1639
hab ,555, habitat ,0.0819
hab ,559, habitat ,0.1639
hab ,563, habitat ,0.0819
hab ,564, habitat ,32.3682
hab ,565, habitat ,1.6389
hab ,567, habitat ,31.6307
hab ,571, habitat ,0.1639
hab ,572, habitat ,17.782
hab ,586, habitat ,0.0819
hab ,587, habitat ,95.8754
hab ,590, habitat ,0.0819
hab ,592, habitat ,0.6556
hab ,593, habitat ,0.0819
hab ,611, habitat ,31.7126
hab ,613, habitat ,2.2945
hab ,614, habitat ,0.2458
hab ,616, habitat ,0.0819
hab ,619, habitat ,4.9986
hab ,621, habitat ,0.0819
hab ,623, habitat ,0.0819
hab ,624, habitat ,5.1625
hab ,625, habitat ,0.3278
hab ,628, habitat ,5.5722
hab ,629, habitat ,0.0819
hab ,633, habitat ,0.0819
hab ,634, habitat ,0.0819
hab ,637, habitat ,7.6209
hab ,640, habitat ,1.7208
hab ,641, habitat ,0.0819
hab ,642, habitat ,72.1934
hab ,643, habitat ,1.8028
hab ,646, habitat ,0.0819
hab ,648, habitat ,0.4917
hab ,651, habitat ,0.1639
hab ,652, habitat ,0.0819
hab ,653, habitat ,12.4556
hab ,654, habitat ,0.4097
hab ,656, habitat ,0.0819
hab ,658, habitat ,0.0819
hab ,659, habitat ,0.0819
hab ,660, habitat ,0.2458
hab ,661, habitat ,0.1639
hab ,663, habitat ,16.9626
hab ,664, habitat ,0.6556
hab ,665, habitat ,0.5736
hab ,668, habitat ,180.2785
